company_name,symbol,exchange,sector,industry,theme,market_cap_type,is_sme
Karnimata Cold Storage Ltd,KCSL,BSE SME,Services,Services,,Micro,True
Khemani Distributors & Marketing Ltd,KDML,BSE SME,Consumer Services,Consumer Services,,Micro,True
Kenrik Industries Ltd,KENRIK,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Kesar India Ltd,KESAR,BSE SME,Realty,Realty,,Micro,True
Khyati Global Ventures Ltd,KGVL,BSE SME,Services,Services,,Micro,True
Khazanchi Jewellers Ltd,KHAZANCHI,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Kiaasa Retail Ltd,KIAASA,BSE SME,Textiles,Textiles,,Micro,True
Kizi Apparels Ltd,KIZI,BSE SME,Textiles,Textiles,,Micro,True
KK Shah Hospitals Ltd,KKSHL,BSE SME,Healthcare,Healthcare,,Micro,True
K K Silk Mills Ltd,KKSILK,BSE SME,Textiles,Textiles,,Micro,True
Kids Medical Systems Ltd,KMSL,BSE SME,Healthcare,Healthcare,,Micro,True
KMS Medisurgi Ltd,KMSMEDI,BSE SME,Healthcare,Healthcare,,Micro,True
Koura Fine Diamond Jewelry Ltd,KOURA,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
KP Green Engineering Ltd,KPGEL,BSE SME,Capital Goods,Capital Goods,,Micro,True
Krupalu Metals Ltd,KRUPALU,BSE SME,Capital Goods,Capital Goods,,Micro,True
KVS Castings Ltd,KVSCASTING,BSE SME,Capital Goods,Capital Goods,,Micro,True
K. V. Toys India Ltd,KVTOYS,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Labelkraft Technologies Ltd,LABELKRAFT,BSE SME,Forest Materials,Forest Materials,,Micro,True
Laxmipati Engineering Works Ltd,LAXMIPATI,BSE SME,Capital Goods,Capital Goods,,Micro,True
Leapfrog Engineering Services Ltd,LESL,BSE SME,Construction,Construction,,Micro,True
Lex Nimble Solutions Ltd,LEX,BSE SME,Services,Services,,Micro,True
Landmark Global Learning Ltd,LGLL,BSE SME,Consumer Services,Consumer Services,,Micro,True
LGT Business Connextions Ltd,LGT,BSE SME,Consumer Services,Consumer Services,,Micro,True
Liotech Industries Ltd,LIOTECH,BSE SME,Capital Goods,Capital Goods,,Micro,True
L.K.Mehta Polymers Ltd,LKMEHTA,BSE SME,Capital Goods,Capital Goods,,Micro,True
Logica Infoway Ltd,LOGICA,BSE SME,Consumer Services,Consumer Services,,Micro,True
Logiciel Solutions Ltd,LOGICIEL,BSE SME,Information Technology,Information Technology,,Micro,True
L. T. Elevator Ltd,LTELEVATOR,BSE SME,Capital Goods,Capital Goods,,Micro,True
Luxury Time Ltd,LUXURY,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Maagh Advertising and Marketing Services Ltd,MAAGHADV,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Mac Hotels Ltd,MACH,BSE SME,Consumer Services,Consumer Services,,Micro,True
Mach Travel Solutions Ltd,MACHLTD,BSE SME,Consumer Services,Consumer Services,,Micro,True
Mafia Trends Ltd,MAFIA,BSE SME,Consumer Services,Consumer Services,,Micro,True
Magenta Lifecare Ltd,MAGENTA,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Mahamaya Lifesciences Ltd,MAHALIFE,BSE SME,Chemicals,Chemicals,,Micro,True
Mahip Industries Ltd,MAHIP,BSE SME,Capital Goods,Capital Goods,,Micro,True
Maiden Forgings Ltd,MAIDEN,BSE SME,Capital Goods,Capital Goods,,Micro,True
Malpani Pipes And Fittings Ltd,MALPANI,BSE SME,Capital Goods,Capital Goods,,Micro,True
Manas Properties Ltd,MANAS,BSE SME,Realty,Realty,,Micro,True
Mangal Compusolution Ltd,MANGALCOMP,BSE SME,Services,Services,,Micro,True
M.R.Maniveni Foods Ltd,MANIVENI,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Manoj Jewellers Ltd,MANOJJEWEL,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
